Tanggal,Curah Hujan
1980-12-31,2.0
1981-12-31,2.0
1982-12-31,10.182191780821919
1983-12-31,5.706849315068493
1984-12-31,8.195550351288055
1985-12-31,5.4869275929549906
1986-12-31,6.588219178082191
1987-12-31,8.231898238747553
1988-12-31,6.511904761904761
1989-12-31,4.221917808219178
1990-12-31,6.83013698630137
1991-12-31,4.743835616438356
1992-12-31,6.146721311475409
1993-12-31,4.585479452054795
1994-12-31,5.708493150684931
1995-12-31,6.272602739726027
1996-12-31,6.73087431693989
1997-12-31,3.5399999999999996
1998-12-31,7.261369863013699
1999-12-31,6.3712328767123285
2000-12-31,9.96626733921816
2001-12-31,5.861222339304531
2002-12-31,5.347945205479452
2003-12-31,6.247945205479452
2004-12-31,3.2172131147540983
2005-12-31,6.398630136986301
2006-12-31,6.976712328767123
2007-12-31,6.656164383561644
2008-12-31,6.692622950819672
2009-12-31,4.442465753424657
2010-12-31,6.6876712328767125
2011-12-31,4.406849315068493
2012-12-31,7.146174863387978
2013-12-31,5.41238747553816
2014-12-31,4.682589693411611
2015-12-31,4.38337899543379
2016-12-31,5.498907103825136
2017-12-31,5.384109589041096
2018-12-31,5.357260273972603
2019-12-31,3.797945205479452
2020-12-31,4.683333333333333
2021-12-31,5.566986301369863
2022-12-31,6.241438356164384
2023-12-31,7.667054794520547
