Tanggal,Temperatur Minimum
1980-12-31,22.94945355191257
1981-12-31,23.094520547945205
1982-12-31,22.16849315068493
1983-12-31,22.954794520547946
1984-12-31,22.9672131147541
1985-12-31,22.736986301369864
1986-12-31,22.52191780821918
1987-12-31,22.784931506849315
1988-12-31,23.098360655737704
1989-12-31,22.554794520547944
1990-12-31,22.5013698630137
1991-12-31,22.55890410958904
1992-12-31,22.741803278688526
1993-12-31,22.764383561643836
1994-12-31,22.4
1995-12-31,22.687671232876713
1996-12-31,22.838797814207652
1997-12-31,22.768493150684932
1998-12-31,23.794520547945204
1999-12-31,22.734246575342464
2000-12-31,22.87431693989071
2001-12-31,23.167123287671235
2002-12-31,23.064383561643837
2003-12-31,23.0013698630137
2004-12-31,22.724043715846996
2005-12-31,23.313698630136987
2006-12-31,22.54931506849315
2007-12-31,22.92054794520548
2008-12-31,22.758196721311474
2009-12-31,22.483561643835618
2010-12-31,23.65205479452055
2011-12-31,22.73013698630137
2012-12-31,22.41393442622951
2013-12-31,24.46301369863014
2014-12-31,23.09178082191781
2015-12-31,22.864383561643837
2016-12-31,23.631147540983605
2017-12-31,23.513698630136986
2018-12-31,23.312328767123287
2019-12-31,23.338904109589045
2020-12-31,23.98620218579235
2021-12-31,23.694657534246574
2022-12-31,23.513287671232877
2023-12-31,23.31054794520548
