Tanggal,Temperatur Maksimum
1980-12-31,32.33319672131148
1981-12-31,31.910958904109588
1982-12-31,32.34452054794521
1983-12-31,32.082191780821915
1984-12-31,31.871584699453553
1985-12-31,32.324383561643835
1986-12-31,32.18
1987-12-31,32.58123287671233
1988-12-31,32.44207650273224
1989-12-31,32.07643835616438
1990-12-31,32.294657534246575
1991-12-31,31.911780821917805
1992-12-31,32.00150273224043
1993-12-31,32.26575342465753
1994-12-31,32.09890410958904
1995-12-31,32.02178082191781
1996-12-31,32.38497267759563
1997-12-31,32.46109589041096
1998-12-31,32.38027397260274
1999-12-31,31.793698630136987
2000-12-31,31.718032786885242
2001-12-31,32.135342465753425
2002-12-31,32.76547945205479
2003-12-31,32.653150684931504
2004-12-31,32.734153005464485
2005-12-31,32.599178082191784
2006-12-31,32.42821917808219
2007-12-31,32.51931506849315
2008-12-31,32.33989071038251
2009-12-31,33.04369863013699
2010-12-31,32.44904109589041
2011-12-31,31.975068493150683
2012-12-31,32.37650273224043
2013-12-31,32.24191780821918
2014-12-31,32.674109589041095
2015-12-31,33.43917808219178
2016-12-31,32.93306010928962
2017-12-31,32.63178082191781
2018-12-31,33.18068493150685
2019-12-31,33.028082191780825
2020-12-31,33.25109289617486
2021-12-31,32.7641095890411
2022-12-31,32.70342465753425
2023-12-31,33.232328767123285
