Tanggal,Temperatur Minimum
1980-12-31,22.556010928961747
1981-12-31,22.884931506849316
1982-12-31,22.02191780821918
1983-12-31,23.006849315068493
1984-12-31,22.617486338797814
1985-12-31,22.601369863013698
1986-12-31,22.82191780821918
1987-12-31,22.87945205479452
1988-12-31,23.146174863387976
1989-12-31,22.79041095890411
1990-12-31,22.887671232876713
1991-12-31,22.494520547945207
1992-12-31,22.80054644808743
1993-12-31,22.794520547945204
1994-12-31,22.394520547945206
1995-12-31,23.06027397260274
1996-12-31,22.85655737704918
1997-12-31,22.615068493150684
1998-12-31,23.81095890410959
1999-12-31,22.984931506849314
2000-12-31,23.23224043715847
2001-12-31,23.106849315068494
2002-12-31,22.89041095890411
2003-12-31,23.061643835616437
2004-12-31,23.103825136612024
2005-12-31,23.356164383561644
2006-12-31,23.094520547945205
2007-12-31,23.438356164383563
2008-12-31,23.19672131147541
2009-12-31,23.193150684931506
2010-12-31,23.926027397260274
2011-12-31,22.926027397260274
2012-12-31,22.575136612021858
2013-12-31,22.708219178082192
2014-12-31,22.783561643835615
2015-12-31,22.546575342465754
2016-12-31,23.469945355191257
2017-12-31,22.838356164383562
2018-12-31,22.90821917808219
2019-12-31,22.654109589041095
2020-12-31,23.04535519125683
2021-12-31,22.224383561643833
2022-12-31,23.25109589041096
2023-12-31,22.974175824175827
