Tanggal,Curah Hujan
1980-12-31,8.363387978142077
1981-12-31,9.987671232876712
1982-12-31,5.458904109589041
1983-12-31,6.232876712328767
1984-12-31,8.598360655737705
1985-12-31,8.682648401826484
1986-12-31,7.672146118721462
1987-12-31,9.188888888888888
1988-12-31,8.250151791135398
1989-12-31,8.776986301369863
1990-12-31,11.696986301369861
1991-12-31,9.342009132420092
1992-12-31,8.493624772313296
1993-12-31,7.1136986301369864
1994-12-31,5.5479452054794525
1995-12-31,10.753424657534246
1996-12-31,7.39344262295082
1997-12-31,7.8123287671232875
1998-12-31,11.438356164383562
1999-12-31,11.291780821917808
2000-12-31,6.6243169398907105
2001-12-31,9.754794520547945
2002-12-31,7.895890410958904
2003-12-31,10.148630136986302
2004-12-31,8.181010928961749
2005-12-31,9.878082191780821
2006-12-31,9.312328767123288
2007-12-31,6.67945205479452
2008-12-31,10.274590163934427
2009-12-31,7.754794520547946
2010-12-31,9.305479452054794
2011-12-31,7.640639269406393
2012-12-31,8.296450689565443
2013-12-31,14.127166340508808
2014-12-31,6.25958904109589
2015-12-31,8.456301369863015
2016-12-31,10.05915300546448
2017-12-31,6.617534246575342
2018-12-31,6.456712328767122
2019-12-31,5.674520547945205
2020-12-31,5.700683060109289
2021-12-31,8.984109589041095
2022-12-31,9.775342465753425
2023-12-31,9.77706043956044
