Tanggal,Temperatur Minimum
1980-12-31,26.0
1981-12-31,26.0
1982-12-31,24.519178082191782
1983-12-31,24.654794520547945
1984-12-31,24.562841530054644
1985-12-31,24.45205479452055
1986-12-31,24.28082191780822
1987-12-31,24.765753424657536
1988-12-31,24.560109289617486
1989-12-31,24.22876712328767
1990-12-31,24.275342465753425
1991-12-31,24.186301369863013
1992-12-31,24.618852459016395
1993-12-31,24.663013698630138
1994-12-31,24.221917808219178
1995-12-31,24.226027397260275
1996-12-31,24.163799315438663
1997-12-31,23.802875206984794
1998-12-31,25.002739726027396
1999-12-31,24.306849315068494
2000-12-31,24.286754828697003
2001-12-31,24.473747016706444
2002-12-31,24.909307875894985
2003-12-31,25.344868735083534
2004-12-31,25.781026252983295
2005-12-31,24.69178082191781
2006-12-31,24.23972602739726
2007-12-31,24.5
2008-12-31,24.739071038251367
2009-12-31,24.665753424657535
2010-12-31,25.438356164383563
2011-12-31,24.601369863013698
2012-12-31,24.132513661202186
2013-12-31,24.915068493150685
2014-12-31,24.736986301369864
2015-12-31,25.04794520547945
2016-12-31,25.441256830601095
2017-12-31,25.026027397260275
2018-12-31,24.982191780821918
2019-12-31,24.723013698630137
2020-12-31,25.45505464480874
2021-12-31,24.452739726027396
2022-12-31,24.314931506849316
2023-12-31,24.67150684931507
