Tanggal,Arah Angin Saat Kecepatan Maksimum
1980-12-31,90.0
1981-12-31,90.0
1982-12-31,131.42465753424656
1983-12-31,191.34246575342465
1984-12-31,187.5
1985-12-31,194.1164383561644
1986-12-31,187.27397260273972
1987-12-31,173.83561643835617
1988-12-31,181.47540983606558
1989-12-31,195.41095890410958
1990-12-31,178.02739726027397
1991-12-31,183.94520547945206
1992-12-31,192.54098360655738
1993-12-31,169.5205479452055
1994-12-31,182.4334637964775
1995-12-31,180.03228962818002
1996-12-31,211.57404071338496
1997-12-31,150.86685232575644
1998-12-31,160.64383561643837
1999-12-31,149.1164383561644
2000-12-31,135.44639363824876
2001-12-31,143.29653937947492
2002-12-31,192.29713603818618
2003-12-31,241.29773269689738
2004-12-31,290.36545346062053
2005-12-31,184.9794520547945
2006-12-31,187.3972602739726
2007-12-31,194.36301369863014
2008-12-31,184.54918032786884
2009-12-31,181.35616438356163
2010-12-31,176.17808219178082
2011-12-31,182.8972602739726
2012-12-31,168.63173684774458
2013-12-31,192.11173784582323
2014-12-31,174.0986301369863
2015-12-31,169.3972602739726
2016-12-31,169.37431693989072
2017-12-31,179.8904109589041
2018-12-31,189.56164383561645
2019-12-31,185.13972602739727
2020-12-31,176.33879781420765
2021-12-31,190.35616438356163
2022-12-31,187.45205479452054
2023-12-31,178.8904109589041
