Tanggal,Curah Hujan
1980-12-31,4.4719945355191255
1981-12-31,8.036712328767123
1982-12-31,7.305342465753424
1983-12-31,7.610684931506849
1984-12-31,8.133879781420765
1985-12-31,8.378356164383561
1986-12-31,7.195150684931507
1987-12-31,6.6738904109589035
1988-12-31,7.075956284153005
1989-12-31,5.6212328767123285
1990-12-31,7.3913013698630134
1991-12-31,4.074315068493151
1992-12-31,4.887090163934426
1993-12-31,7.366506849315069
1994-12-31,8.515890410958903
1995-12-31,7.923561643835616
1996-12-31,9.307103825136613
1997-12-31,4.563607305936073
1998-12-31,6.483680365296804
1999-12-31,6.035041095890411
2000-12-31,6.608449768240852
2001-12-31,15.268631436314362
2002-12-31,11.237804878048781
2003-12-31,7.2069783197831985
2004-12-31,3.170630081300814
2005-12-31,7.071261461929687
2006-12-31,7.535342465753425
2007-12-31,5.555616438356164
2008-12-31,5.7087431693989075
2009-12-31,5.313178082191781
2010-12-31,7.762301369863013
2011-12-31,5.475068493150685
2012-12-31,6.145491803278689
2013-12-31,7.6783105022831055
2014-12-31,7.906894977168949
2015-12-31,3.782054794520548
2016-12-31,5.781420765027322
2017-12-31,5.854383561643836
2018-12-31,7.092739726027397
2019-12-31,8.282739726027398
2020-12-31,7.176229508196721
2021-12-31,6.556849315068493
2022-12-31,5.584383561643835
2023-12-31,4.855616438356164
