Tanggal,Lamanya Penyinaran Matahari
1980-12-31,6.266256830601092
1981-12-31,6.0752054794520545
1982-12-31,6.571369863013699
1983-12-31,6.401095890410959
1984-12-31,6.100819672131148
1985-12-31,6.546438356164383
1986-12-31,6.215616438356164
1987-12-31,6.347671232876713
1988-12-31,6.10587431693989
1989-12-31,6.536575342465754
1990-12-31,6.321095890410958
1991-12-31,6.460821917808219
1992-12-31,6.585519125683061
1993-12-31,6.849726027397261
1994-12-31,6.945342465753425
1995-12-31,6.551643835616438
1996-12-31,6.518989071038251
1997-12-31,6.747671232876713
1998-12-31,6.481095890410959
1999-12-31,5.955296803652968
2000-12-31,6.389389799635702
2001-12-31,6.30876712328767
2002-12-31,6.901506849315069
2003-12-31,6.524520547945205
2004-12-31,6.523087431693988
2005-12-31,5.98931506849315
2006-12-31,6.348904109589041
2007-12-31,6.508082191780821
2008-12-31,6.495628415300547
2009-12-31,6.712328767123288
2010-12-31,6.288630136986301
2011-12-31,6.319041095890411
2012-12-31,6.711314094012787
2013-12-31,8.423449429017316
2014-12-31,7.3538356164383565
2015-12-31,8.017671232876712
2016-12-31,7.926229508196721
2017-12-31,6.690821917808219
2018-12-31,7.41
2019-12-31,7.288767123287672
2020-12-31,7.315163934426229
2021-12-31,7.2027397260273975
2022-12-31,7.046849315068493
2023-12-31,7.605890410958905
