Tanggal,Temperatur Maksimum
1980-12-31,32.14357923497268
1981-12-31,31.54027397260274
1982-12-31,31.900410958904107
1983-12-31,31.812054794520545
1984-12-31,31.725956284153007
1985-12-31,32.25232876712329
1986-12-31,32.33342465753425
1987-12-31,32.67068493150685
1988-12-31,32.60204918032787
1989-12-31,32.341369863013696
1990-12-31,32.29698630136986
1991-12-31,31.946027397260274
1992-12-31,32.70355191256831
1993-12-31,32.252876712328764
1994-12-31,31.964109589041094
1995-12-31,31.82082191780822
1996-12-31,31.82172131147541
1997-12-31,31.697808219178086
1998-12-31,32.48780821917808
1999-12-31,31.37821917808219
2000-12-31,31.25846994535519
2001-12-31,34.03686730506156
2002-12-31,33.11313269493844
2003-12-31,32.18939808481532
2004-12-31,31.264398084815323
2005-12-31,32.19931506849315
2006-12-31,31.511780821917807
2007-12-31,31.762465753424657
2008-12-31,31.597950819672132
2009-12-31,32.10383561643835
2010-12-31,32.13972602739726
2011-12-31,31.674794520547945
2012-12-31,31.798360655737707
2013-12-31,31.998356164383562
2014-12-31,32.529315068493155
2015-12-31,32.18739726027397
2016-12-31,32.79726775956284
2017-12-31,32.30986301369863
2018-12-31,32.235342465753426
2019-12-31,32.303698630136985
2020-12-31,32.68852459016394
2021-12-31,32.156027397260274
2022-12-31,32.203972602739725
2023-12-31,32.67205479452055
