Tanggal,Temperatur Rata-rata
1980-12-31,28.800000000000004
1981-12-31,28.8
1982-12-31,28.8
1983-12-31,27.60301369863014
1984-12-31,27.435519125683058
1985-12-31,27.549863013698634
1986-12-31,28.416027397260276
1987-12-31,28.000136986301367
1988-12-31,28.090846994535518
1989-12-31,27.773287671232875
1990-12-31,27.737397260273973
1991-12-31,27.569726027397262
1992-12-31,28.21898907103825
1993-12-31,27.934109589041096
1994-12-31,27.537534246575344
1995-12-31,26.805008210180628
1996-12-31,26.8150109469075
1997-12-31,26.82501368363437
1998-12-31,26.83500273672687
1999-12-31,26.844991789819375
2000-12-31,26.85499452654625
2001-12-31,26.86499726327312
2002-12-31,26.874986316365625
2003-12-31,26.884975369458125
2004-12-31,26.894978106185004
2005-12-31,27.468767123287673
2006-12-31,27.110958904109587
2007-12-31,27.533150684931506
2008-12-31,27.319535519125687
2009-12-31,27.585753424657533
2010-12-31,27.883835616438358
2011-12-31,27.213972602739727
2012-12-31,27.355327868852456
2013-12-31,27.466712328767123
2014-12-31,27.904520547945204
2015-12-31,28.046164383561646
2016-12-31,28.832650273224044
2017-12-31,28.304657534246576
2018-12-31,27.928630136986303
2019-12-31,27.74972602739726
2020-12-31,28.272404371584702
2021-12-31,27.880000000000003
2022-12-31,27.966301369863015
2023-12-31,27.2086301369863
