Tanggal,Temperatur Maksimum
1980-12-31,31.6
1981-12-31,31.6
1982-12-31,31.37904109589041
1983-12-31,31.285753424657532
1984-12-31,31.159562841530054
1985-12-31,31.1913698630137
1986-12-31,31.14958904109589
1987-12-31,28.686027397260272
1988-12-31,31.58907103825137
1989-12-31,31.565616438356166
1990-12-31,31.62383561643836
1991-12-31,31.117534246575342
1992-12-31,31.606693989071037
1993-12-31,31.678904109589038
1994-12-31,31.416849315068493
1995-12-31,31.275342465753425
1996-12-31,32.75310754818951
1997-12-31,31.72797982839079
1998-12-31,32.69068493150685
1999-12-31,31.71917808219178
2000-12-31,29.704423099495287
2001-12-31,29.405369928400958
2002-12-31,30.14582338902148
2003-12-31,30.886276849642005
2004-12-31,31.6277446300716
2005-12-31,32.3727397260274
2006-12-31,31.549863013698634
2007-12-31,31.786712328767123
2008-12-31,31.66051912568306
2009-12-31,32.36109589041096
2010-12-31,32.3186301369863
2011-12-31,31.57452054794521
2012-12-31,31.44494535519126
2013-12-31,32.09287671232877
2014-12-31,31.997671232876712
2015-12-31,32.275342465753425
2016-12-31,32.768169398907105
2017-12-31,32.01082191780822
2018-12-31,32.21493150684932
2019-12-31,32.08027397260274
2020-12-31,32.53319672131148
2021-12-31,32.13369863013698
2022-12-31,32.32767123287671
2023-12-31,32.2172602739726
