Tanggal,Temperatur Rata-rata
1980-12-31,25.699999999999996
1981-12-31,25.7
1982-12-31,25.7
1983-12-31,25.7
1984-12-31,26.675658369960455
1985-12-31,27.421882001493653
1986-12-31,28.212397311426436
1987-12-31,28.889581061311347
1988-12-31,27.5724043715847
1989-12-31,27.114520547945204
1990-12-31,27.366164383561642
1991-12-31,26.98945205479452
1992-12-31,27.337158469945354
1993-12-31,27.482876712328768
1994-12-31,27.121506849315068
1995-12-31,27.337260273972603
1996-12-31,27.459016393442624
1997-12-31,27.10301369863014
1998-12-31,27.50328767123288
1999-12-31,26.603835616438356
2000-12-31,26.63879781420765
2001-12-31,26.91082191780822
2002-12-31,27.013013698630136
2003-12-31,27.078767123287673
2004-12-31,27.208196721311477
2005-12-31,27.63041095890411
2006-12-31,26.90986301369863
2007-12-31,27.325890410958905
2008-12-31,27.44002732240437
2009-12-31,28.06287671232877
2010-12-31,27.615616438356167
2011-12-31,26.537123287671232
2012-12-31,26.56789617486339
2013-12-31,27.156986301369862
2014-12-31,27.26493150684932
2015-12-31,27.106027397260277
2016-12-31,27.735245901639345
2017-12-31,27.237671232876714
2018-12-31,27.4072602739726
2019-12-31,27.24164383561644
2020-12-31,27.891256830601094
2021-12-31,27.416301369863017
2022-12-31,27.383835616438358
2023-12-31,27.401506849315066
