Tanggal,Curah Hujan
1980-12-31,7.256830601092896
1981-12-31,9.471232876712328
1982-12-31,10.45890410958904
1983-12-31,10.827397260273973
1984-12-31,8.107923497267759
1985-12-31,6.267123287671233
1986-12-31,9.62054794520548
1987-12-31,13.610045662100458
1988-12-31,6.590329524755754
1989-12-31,6.982025736820257
1990-12-31,7.961187214611873
1991-12-31,12.02270058708415
1992-12-31,9.299375487900077
1993-12-31,6.923679060665362
1994-12-31,10.231963470319634
1995-12-31,8.089331672893316
1996-12-31,8.418653750620964
1997-12-31,6.154794520547945
1998-12-31,9.232876712328768
1999-12-31,9.96986301369863
2000-12-31,9.146174863387978
2001-12-31,7.2904109589041095
2002-12-31,9.139726027397261
2003-12-31,7.601174168297456
2004-12-31,10.112962174437584
2005-12-31,10.56500622665006
2006-12-31,8.07123287671233
2007-12-31,6.235616438356164
2008-12-31,5.909836065573771
2009-12-31,8.316438356164383
2010-12-31,8.189041095890412
2011-12-31,6.589041095890411
2012-12-31,10.439344262295082
2013-12-31,6.963561643835616
2014-12-31,8.281986301369864
2015-12-31,5.916780821917809
2016-12-31,8.862295081967213
2017-12-31,8.595342465753424
2018-12-31,9.955890410958904
2019-12-31,8.160821917808219
2020-12-31,6.540710382513661
2021-12-31,10.721506849315068
2022-12-31,5.997671232876713
2023-12-31,6.11027397260274
