Tanggal,Lamanya Penyinaran Matahari
1980-12-31,0.7584699453551913
1981-12-31,0.6963013698630137
1982-12-31,0.674931506849315
1983-12-31,5.41013698630137
1984-12-31,4.461475409836066
1985-12-31,6.244520547945205
1986-12-31,6.074246575342466
1987-12-31,6.376986301369863
1988-12-31,6.214754098360656
1989-12-31,6.250547945205479
1990-12-31,6.474794520547945
1991-12-31,6.289452054794521
1992-12-31,6.555737704918033
1993-12-31,6.350547945205479
1994-12-31,6.615205479452055
1995-12-31,0.609041095890411
1996-12-31,0.6128415300546448
1997-12-31,0.6584931506849315
1998-12-31,0.603013698630137
1999-12-31,0.5857534246575343
2000-12-31,0.6031420765027322
2001-12-31,1.8511627906976744
2002-12-31,3.5488372093023255
2003-12-31,5.246511627906977
2004-12-31,6.946511627906976
2005-12-31,5.908904109589041
2006-12-31,6.246164383561643
2007-12-31,6.339178082191781
2008-12-31,6.329371584699454
2009-12-31,6.296438356164383
2010-12-31,5.522328767123288
2011-12-31,5.236986301369863
2012-12-31,5.366803278688525
2013-12-31,5.565753424657534
2014-12-31,7.218356164383561
2015-12-31,8.424246575342465
2016-12-31,7.893852459016394
2017-12-31,7.876986301369863
2018-12-31,8.080684931506848
2019-12-31,8.876438356164384
2020-12-31,7.941393442622951
2021-12-31,7.6635616438356156
2022-12-31,7.629589041095891
2023-12-31,8.046301369863015
