Tanggal,Curah Hujan
1980-12-31,10.976775956284152
1981-12-31,10.563013698630137
1982-12-31,12.612328767123287
1983-12-31,14.574657534246576
1984-12-31,10.82172131147541
1985-12-31,11.06027397260274
1986-12-31,9.591780821917808
1987-12-31,10.687671232876712
1988-12-31,9.621584699453551
1989-12-31,11.026712328767124
1990-12-31,6.713470319634703
1991-12-31,12.739269406392694
1992-12-31,12.351092896174864
1993-12-31,8.006849315068493
1994-12-31,12.42876712328767
1995-12-31,12.286849315068492
1996-12-31,9.290437158469945
1997-12-31,5.975342465753425
1998-12-31,12.221917808219178
1999-12-31,12.794520547945206
2000-12-31,13.3948087431694
2001-12-31,8.64109589041096
2002-12-31,18.102739726027398
2003-12-31,8.976712328767123
2004-12-31,9.878415300546449
2005-12-31,6.1136986301369864
2006-12-31,9.456849315068494
2007-12-31,7.318493150684931
2008-12-31,8.591530054644808
2009-12-31,6.059726027397261
2010-12-31,12.78821917808219
2011-12-31,12.117808219178082
2012-12-31,8.27729125505064
2013-12-31,6.291949042880728
2014-12-31,9.272739726027398
2015-12-31,7.01013698630137
2016-12-31,8.550956284153006
2017-12-31,7.12986301369863
2018-12-31,5.877945205479452
2019-12-31,5.648082191780823
2020-12-31,7.521338797814208
2021-12-31,6.571342465753425
2022-12-31,10.14041095890411
2023-12-31,8.894794520547945
