Tanggal,Kelembapan Rata-rata
1980-12-31,71.06420765027322
1981-12-31,73.37534246575342
1982-12-31,70.97260273972603
1983-12-31,73.25205479452055
1984-12-31,72.07103825136612
1985-12-31,71.83835616438355
1986-12-31,72.46849315068494
1987-12-31,71.64246575342466
1988-12-31,72.84426229508196
1989-12-31,71.93835616438356
1990-12-31,73.4986301369863
1991-12-31,71.35342465753425
1992-12-31,73.68032786885246
1993-12-31,72.06986301369864
1994-12-31,73.4904109589041
1995-12-31,79.47945205479452
1996-12-31,77.00273224043715
1997-12-31,76.25205479452055
1998-12-31,79.62191780821918
1999-12-31,78.20821917808219
2000-12-31,79.25956284153006
2001-12-31,78.35890410958905
2002-12-31,75.01643835616439
2003-12-31,77.95068493150686
2004-12-31,80.0
2005-12-31,72.32328767123288
2006-12-31,74.84794520547945
2007-12-31,76.15616438356165
2008-12-31,75.02459016393442
2009-12-31,76.40273972602739
2010-12-31,82.28493150684932
2011-12-31,80.75616438356164
2012-12-31,74.71584699453553
2013-12-31,75.0027397260274
2014-12-31,78.38493150684931
2015-12-31,77.41780821917808
2016-12-31,76.08196721311475
2017-12-31,76.18630136986302
2018-12-31,78.4
2019-12-31,76.84383561643835
2020-12-31,76.80737704918033
2021-12-31,77.57808219178082
2022-12-31,80.5986301369863
2023-12-31,78.16575342465754
