Tanggal,Arah Angin Saat Kecepatan Maksimum
1980-12-31,247.99180327868854
1981-12-31,206.26027397260273
1982-12-31,235.72602739726028
1983-12-31,238.68493150684932
1984-12-31,235.327868852459
1985-12-31,191.83561643835617
1986-12-31,172.23287671232876
1987-12-31,197.26027397260273
1988-12-31,188.11475409836066
1989-12-31,237.94520547945206
1990-12-31,225.73972602739727
1991-12-31,242.3835616438356
1992-12-31,241.10655737704917
1993-12-31,250.64383561643837
1994-12-31,220.68493150684932
1995-12-31,243.86301369863014
1996-12-31,225.12295081967213
1997-12-31,246.57534246575344
1998-12-31,264.82191780821915
1999-12-31,233.63013698630138
2000-12-31,241.84426229508196
2001-12-31,235.4794520547945
2002-12-31,242.013698630137
2003-12-31,245.46575342465752
2004-12-31,236.68032786885246
2005-12-31,234.92465753424656
2006-12-31,223.76712328767124
2007-12-31,234.12328767123287
2008-12-31,231.14754098360655
2009-12-31,230.17808219178082
2010-12-31,246.6986301369863
2011-12-31,214.27397260273972
2012-12-31,182.3360655737705
2013-12-31,202.06849315068493
2014-12-31,187.06849315068493
2015-12-31,193.31506849315068
2016-12-31,198.65300546448088
2017-12-31,189.13698630136986
2018-12-31,184.3835616438356
2019-12-31,176.62739726027397
2020-12-31,174.56830601092895
2021-12-31,175.72602739726028
2022-12-31,189.60821917808218
2023-12-31,176.25
