Tanggal,Kecepatan Angin Maksimum
1980-12-31,8.102459016393443
1981-12-31,7.5917808219178085
1982-12-31,7.4150684931506845
1983-12-31,7.661643835616438
1984-12-31,7.680327868852459
1985-12-31,7.624657534246575
1986-12-31,6.972602739726027
1987-12-31,7.642465753424657
1988-12-31,6.990437158469946
1989-12-31,6.736986301369863
1990-12-31,6.66986301369863
1991-12-31,6.789041095890411
1992-12-31,6.976775956284153
1993-12-31,7.635616438356164
1994-12-31,8.304109589041095
1995-12-31,8.026027397260274
1996-12-31,7.995901639344262
1997-12-31,6.1287671232876715
1998-12-31,5.586301369863014
1999-12-31,6.006849315068493
2000-12-31,5.46448087431694
2001-12-31,5.1876712328767125
2002-12-31,5.686301369863013
2003-12-31,6.573972602739726
2004-12-31,6.314207650273224
2005-12-31,6.921917808219178
2006-12-31,6.913698630136986
2007-12-31,6.9
2008-12-31,6.871584699453552
2009-12-31,6.213698630136986
2010-12-31,6.219178082191781
2011-12-31,6.6
2012-12-31,6.310109289617486
2013-12-31,4.863013698630137
2014-12-31,6.505479452054795
2015-12-31,6.257534246575342
2016-12-31,6.759562841530054
2017-12-31,7.310958904109589
2018-12-31,7.042465753424658
2019-12-31,7.068493150684931
2020-12-31,7.215846994535519
2021-12-31,6.646575342465753
2022-12-31,6.052054794520548
2023-12-31,7.558904109589041
