Tanggal,Kecepatan Angin Maksimum
1980-12-31,5.144808743169399
1981-12-31,4.861643835616438
1982-12-31,5.2684931506849315
1983-12-31,4.845205479452055
1984-12-31,4.312841530054645
1985-12-31,3.984931506849315
1986-12-31,4.3054794520547945
1987-12-31,4.247945205479452
1988-12-31,4.381147540983607
1989-12-31,4.480821917808219
1990-12-31,4.571232876712329
1991-12-31,4.517808219178082
1992-12-31,4.525956284153006
1993-12-31,4.645205479452055
1994-12-31,5.0917808219178085
1995-12-31,5.215068493150685
1996-12-31,4.95856102003643
1997-12-31,5.614155251141552
1998-12-31,5.310958904109589
1999-12-31,5.467123287671233
2000-12-31,5.509562841530054
2001-12-31,5.1945205479452055
2002-12-31,5.776712328767124
2003-12-31,5.457534246575342
2004-12-31,5.366120218579235
2005-12-31,5.4520547945205475
2006-12-31,5.5380821917808225
2007-12-31,5.2783561643835615
2008-12-31,4.851092896174864
2009-12-31,5.258904109589041
2010-12-31,5.168493150684932
2011-12-31,5.154794520547945
2012-12-31,5.968579234972678
2013-12-31,5.557534246575343
2014-12-31,5.594520547945206
2015-12-31,5.771232876712329
2016-12-31,5.23224043715847
2017-12-31,5.967123287671233
2018-12-31,5.879452054794521
2019-12-31,5.902739726027397
2020-12-31,5.639344262295082
2021-12-31,5.531506849315068
2022-12-31,5.078995433789954
2023-12-31,4.762362637362638
