Tanggal,Kelembapan Rata-rata
1980-12-31,78.0
1981-12-31,78.0
1982-12-31,78.0
1983-12-31,79.46027397260274
1984-12-31,82.00819672131148
1985-12-31,82.84109589041095
1986-12-31,78.40273972602739
1987-12-31,75.0
1988-12-31,75.59289617486338
1989-12-31,76.6
1990-12-31,76.23287671232876
1991-12-31,75.72328767123288
1992-12-31,74.31147540983606
1993-12-31,74.10958904109589
1994-12-31,73.87534246575342
1995-12-31,88.10016420361248
1996-12-31,88.30021893814997
1997-12-31,88.50027367268747
1998-12-31,88.70005473453749
1999-12-31,88.89983579638752
2000-12-31,89.09989053092502
2001-12-31,89.29994526546251
2002-12-31,89.49972632731253
2003-12-31,89.69950738916256
2004-12-31,89.89956212370005
2005-12-31,81.73424657534247
2006-12-31,78.30410958904109
2007-12-31,77.37808219178082
2008-12-31,76.30601092896175
2009-12-31,75.72876712328767
2010-12-31,78.59726027397261
2011-12-31,76.87397260273973
2012-12-31,76.69125683060109
2013-12-31,77.75068493150685
2014-12-31,76.01917808219179
2015-12-31,75.36712328767123
2016-12-31,76.2896174863388
2017-12-31,75.83287671232877
2018-12-31,77.27808219178083
2019-12-31,76.36712328767123
2020-12-31,76.93442622950819
2021-12-31,77.87945205479453
2022-12-31,78.4068493150685
2023-12-31,77.81095890410958
