Tanggal,Temperatur Minimum
1980-12-31,22.188524590163933
1981-12-31,22.41917808219178
1982-12-31,21.683561643835617
1983-12-31,22.606849315068494
1984-12-31,22.192622950819672
1985-12-31,22.15068493150685
1986-12-31,22.306849315068494
1987-12-31,22.434246575342467
1988-12-31,22.59153005464481
1989-12-31,22.421917808219177
1990-12-31,22.432876712328767
1991-12-31,22.127397260273973
1992-12-31,22.418032786885245
1993-12-31,22.197260273972603
1994-12-31,21.913698630136988
1995-12-31,22.361643835616437
1996-12-31,22.306010928961747
1997-12-31,22.04931506849315
1998-12-31,23.334246575342465
1999-12-31,22.33150684931507
2000-12-31,22.502732240437158
2001-12-31,22.295890410958904
2002-12-31,22.187671232876713
2003-12-31,22.505479452054793
2004-12-31,22.26912568306011
2005-12-31,22.583561643835615
2006-12-31,22.16849315068493
2007-12-31,22.502739726027396
2008-12-31,22.636612021857925
2009-12-31,22.72876712328767
2010-12-31,23.58082191780822
2011-12-31,22.723287671232878
2012-12-31,22.739071038251367
2013-12-31,23.183561643835617
2014-12-31,22.926027397260274
2015-12-31,23.278082191780822
2016-12-31,24.02185792349727
2017-12-31,23.39041095890411
2018-12-31,23.39178082191781
2019-12-31,23.05890410958904
2020-12-31,23.722677595628415
2021-12-31,23.58780821917808
2022-12-31,23.581643835616436
2023-12-31,23.24150684931507
