Tanggal,Arah Angin Saat Kecepatan Maksimum
1980-12-31,360.0
1981-12-31,360.0
1982-12-31,262.8493150684931
1983-12-31,202.5
1984-12-31,220.81967213114754
1985-12-31,200.95890410958904
1986-12-31,222.41095890410958
1987-12-31,261.4931506849315
1988-12-31,249.22131147540983
1989-12-31,251.5068493150685
1990-12-31,256.6849315068493
1991-12-31,255.82191780821918
1992-12-31,263.9754098360656
1993-12-31,260.3835616438356
1994-12-31,265.06849315068496
1995-12-31,252.6164383561644
1996-12-31,252.29508196721312
1997-12-31,274.93150684931504
1998-12-31,247.1917808219178
1999-12-31,252.8013698630137
2000-12-31,237.34972677595627
2001-12-31,202.46922024623802
2002-12-31,157.53077975376198
2003-12-31,112.59233926128593
2004-12-31,67.59233926128591
2005-12-31,245.77397260273972
2006-12-31,268.1506849315069
2007-12-31,224.3835616438356
2008-12-31,247.00819672131146
2009-12-31,235.72602739726028
2010-12-31,225.6164383561644
2011-12-31,237.45205479452054
2012-12-31,246.45491803278688
2013-12-31,263.8493150684931
2014-12-31,218.73698630136985
2015-12-31,240.06849315068493
2016-12-31,229.01639344262296
2017-12-31,229.97260273972603
2018-12-31,227.986301369863
2019-12-31,236.7123287671233
2020-12-31,240.91803278688525
2021-12-31,231.26027397260273
2022-12-31,233.82191780821918
2023-12-31,114.98630136986301
