Tanggal,Temperatur Rata-rata
1980-12-31,26.27950819672131
1981-12-31,26.104383561643836
1982-12-31,25.94301369863014
1983-12-31,26.303835616438356
1984-12-31,25.85587431693989
1985-12-31,26.116849315068492
1986-12-31,26.012054794520548
1987-12-31,26.116438356164384
1988-12-31,26.308060109289617
1989-12-31,26.05890410958904
1990-12-31,26.28082191780822
1991-12-31,25.883972602739725
1992-12-31,26.132513661202186
1993-12-31,26.134657534246575
1994-12-31,25.806027397260277
1995-12-31,26.199726027397258
1996-12-31,26.17513661202186
1997-12-31,26.126986301369865
1998-12-31,26.941232876712327
1999-12-31,26.193561643835615
2000-12-31,26.45150273224044
2001-12-31,26.505753424657534
2002-12-31,26.424520547945207
2003-12-31,26.473561643835616
2004-12-31,26.60273224043716
2005-12-31,26.81931506849315
2006-12-31,26.47849315068493
2007-12-31,26.62383561643836
2008-12-31,26.42896174863388
2009-12-31,26.84246575342466
2010-12-31,27.12972602739726
2011-12-31,26.412328767123288
2012-12-31,26.00765027322404
2013-12-31,25.902452316076293
2014-12-31,26.301383300362062
2015-12-31,26.17041095890411
2016-12-31,26.817759562841527
2017-12-31,26.316986301369866
2018-12-31,26.44082191780822
2019-12-31,26.472054794520545
2020-12-31,26.83292349726776
2021-12-31,26.408082191780824
2022-12-31,26.503698630136988
2023-12-31,26.474175824175827
