Tanggal,Lamanya Penyinaran Matahari
1980-12-31,6.65068306010929
1981-12-31,6.304931506849315
1982-12-31,6.637123287671233
1983-12-31,6.635342465753425
1984-12-31,6.437978142076504
1985-12-31,6.803972602739726
1986-12-31,6.613835616438356
1987-12-31,6.727260273972602
1988-12-31,6.798360655737705
1989-12-31,6.684109589041095
1990-12-31,6.851780821917808
1991-12-31,6.766986301369863
1992-12-31,6.9038251366120225
1993-12-31,6.860821917808218
1994-12-31,6.934520547945206
1995-12-31,6.662328767123288
1996-12-31,6.733606557377049
1997-12-31,7.027808219178082
1998-12-31,6.591232876712329
1999-12-31,6.465890410958905
2000-12-31,6.353005464480874
2001-12-31,6.666986301369863
2002-12-31,6.911643835616438
2003-12-31,6.6672602739726035
2004-12-31,6.833196721311475
2005-12-31,6.986027397260274
2006-12-31,6.716301369863014
2007-12-31,6.743150684931507
2008-12-31,6.712295081967213
2009-12-31,6.654383561643836
2010-12-31,6.524931506849315
2011-12-31,6.4376712328767125
2012-12-31,6.665710382513661
2013-12-31,6.53214611872146
2014-12-31,6.7703196347031955
2015-12-31,8.836301369863014
2016-12-31,8.215710382513661
2017-12-31,8.032191780821918
2018-12-31,8.677123287671233
2019-12-31,8.821506849315067
2020-12-31,8.503825136612022
2021-12-31,7.760000000000001
2022-12-31,7.995479452054794
2023-12-31,8.622191780821918
