Tanggal,Kelembapan Rata-rata
1980-12-31,79.23224043715847
1981-12-31,81.31506849315069
1982-12-31,77.84109589041095
1983-12-31,81.3890410958904
1984-12-31,83.13934426229508
1985-12-31,80.33424657534246
1986-12-31,81.66164383561645
1987-12-31,81.28767123287672
1988-12-31,81.54098360655738
1989-12-31,81.96849315068494
1990-12-31,81.5
1991-12-31,81.34931506849315
1992-12-31,81.65300546448087
1993-12-31,81.19315068493151
1994-12-31,80.37534246575342
1995-12-31,82.21643835616439
1996-12-31,82.00819672131148
1997-12-31,80.66575342465754
1998-12-31,83.5041095890411
1999-12-31,82.63835616438357
2000-12-31,81.22814207650273
2001-12-31,79.97260273972603
2002-12-31,80.09041095890412
2003-12-31,80.3890410958904
2004-12-31,79.38524590163935
2005-12-31,79.66712328767123
2006-12-31,79.49178082191781
2007-12-31,79.40821917808219
2008-12-31,79.35245901639344
2009-12-31,84.0
2010-12-31,81.7972602739726
2011-12-31,80.5041095890411
2012-12-31,87.02185792349727
2013-12-31,90.49863760217983
2014-12-31,83.3739651375462
2015-12-31,82.38630136986302
2016-12-31,84.92896174863388
2017-12-31,84.26986301369863
2018-12-31,82.28082191780823
2019-12-31,82.26849315068493
2020-12-31,83.81420765027322
2021-12-31,84.68082191780822
2022-12-31,85.5
2023-12-31,82.73076923076923
