Tanggal,Lamanya Penyinaran Matahari
1980-12-31,7.200000000000001
1981-12-31,7.2
1982-12-31,7.04082191780822
1983-12-31,6.261506849315068
1984-12-31,5.898497267759563
1985-12-31,6.358493150684931
1986-12-31,6.238904109589041
1987-12-31,6.0676712328767115
1988-12-31,6.261475409836065
1989-12-31,6.094794520547945
1990-12-31,6.115205479452055
1991-12-31,6.146301369863014
1992-12-31,6.220628415300546
1993-12-31,6.4498630136986295
1994-12-31,6.2663013698630134
1995-12-31,5.758493150684931
1996-12-31,6.061338797814207
1997-12-31,6.323561643835617
1998-12-31,5.705753424657534
1999-12-31,5.612602739726027
2000-12-31,5.567349726775957
2001-12-31,5.858356164383562
2002-12-31,6.029999999999999
2003-12-31,5.636027397260274
2004-12-31,6.089890710382514
2005-12-31,6.017671232876712
2006-12-31,6.004931506849315
2007-12-31,6.172054794520548
2008-12-31,5.9146174863387975
2009-12-31,6.145068493150684
2010-12-31,5.737534246575342
2011-12-31,5.9135616438356156
2012-12-31,6.217896174863388
2013-12-31,5.603424657534247
2014-12-31,6.3100000000000005
2015-12-31,7.387945205479451
2016-12-31,6.57896174863388
2017-12-31,6.3243835616438355
2018-12-31,6.897534246575343
2019-12-31,7.136164383561644
2020-12-31,6.714207650273225
2021-12-31,5.957397260273972
2022-12-31,6.496301369863014
2023-12-31,7.506986301369864
