Tanggal,Kecepatan Angin Rata-rata
1980-12-31,3.128415300546448
1981-12-31,2.845205479452055
1982-12-31,2.734246575342466
1983-12-31,2.789041095890411
1984-12-31,2.487704918032787
1985-12-31,2.213698630136986
1986-12-31,2.3767123287671232
1987-12-31,2.4452054794520546
1988-12-31,1.8756830601092895
1989-12-31,2.3465753424657536
1990-12-31,2.573972602739726
1991-12-31,2.4684931506849317
1992-12-31,2.57103825136612
1993-12-31,2.73972602739726
1994-12-31,2.664383561643836
1995-12-31,2.447945205479452
1996-12-31,2.7437158469945357
1997-12-31,2.9076712328767123
1998-12-31,2.9863013698630136
1999-12-31,2.3958904109589043
2000-12-31,2.401639344262295
2001-12-31,3.0082191780821916
2002-12-31,2.8164383561643835
2003-12-31,3.3808219178082193
2004-12-31,2.5382513661202184
2005-12-31,2.967123287671233
2006-12-31,3.7945205479452055
2007-12-31,3.5643835616438357
2008-12-31,3.4439890710382515
2009-12-31,3.654794520547945
2010-12-31,3.3945205479452056
2011-12-31,3.56986301369863
2012-12-31,3.7950819672131146
2013-12-31,3.0095890410958903
2014-12-31,2.213698630136986
2015-12-31,2.2095890410958905
2016-12-31,1.7172131147540983
2017-12-31,2.334246575342466
2018-12-31,2.2246575342465755
2019-12-31,2.0904109589041098
2020-12-31,2.019125683060109
2021-12-31,1.9534246575342467
2022-12-31,1.9315068493150684
2023-12-31,2.021978021978022
