Tanggal,Kecepatan Angin Rata-rata
1980-12-31,9.0
1981-12-31,9.0
1982-12-31,6.904109589041096
1983-12-31,4.784931506849315
1984-12-31,5.549180327868853
1985-12-31,5.379452054794521
1986-12-31,5.089041095890411
1987-12-31,5.661643835616438
1988-12-31,4.834699453551913
1989-12-31,4.7027397260273975
1990-12-31,4.905479452054794
1991-12-31,5.2753424657534245
1992-12-31,5.109289617486339
1993-12-31,4.8342465753424655
1994-12-31,4.313698630136987
1995-12-31,4.1287671232876715
1996-12-31,4.764116575591985
1997-12-31,5.042009132420091
1998-12-31,4.449315068493151
1999-12-31,4.217808219178083
2000-12-31,5.1756116566897505
2001-12-31,5.763126491646778
2002-12-31,5.545346062052506
2003-12-31,5.327565632458233
2004-12-31,5.109486873508353
2005-12-31,3.3232876712328765
2006-12-31,3.6534246575342464
2007-12-31,3.684931506849315
2008-12-31,3.872950819672131
2009-12-31,3.6986301369863015
2010-12-31,3.0493150684931507
2011-12-31,3.175342465753425
2012-12-31,3.030118681693989
2013-12-31,2.0684289383561643
2014-12-31,3.2095890410958905
2015-12-31,2.7150684931506848
2016-12-31,2.1256830601092895
2017-12-31,2.5424657534246577
2018-12-31,2.591780821917808
2019-12-31,2.463013698630137
2020-12-31,2.6448087431693987
2021-12-31,2.610958904109589
2022-12-31,2.56986301369863
2023-12-31,2.8767123287671232
