Tanggal,Temperatur Minimum
1980-12-31,23.506830601092897
1981-12-31,23.421917808219177
1982-12-31,22.865753424657534
1983-12-31,23.595890410958905
1984-12-31,23.443989071038253
1985-12-31,23.0972602739726
1986-12-31,23.42054794520548
1987-12-31,23.413698630136988
1988-12-31,23.711748633879782
1989-12-31,23.32191780821918
1990-12-31,22.915068493150685
1991-12-31,22.815068493150687
1992-12-31,23.42622950819672
1993-12-31,23.002739726027396
1994-12-31,22.723287671232878
1995-12-31,23.720547945205478
1996-12-31,24.006830601092897
1997-12-31,23.27260273972603
1998-12-31,24.742465753424657
1999-12-31,23.757534246575343
2000-12-31,23.718579234972676
2001-12-31,24.87482900136799
2002-12-31,24.62517099863201
2003-12-31,24.375512995896035
2004-12-31,24.12551299589603
2005-12-31,24.35753424657534
2006-12-31,23.99041095890411
2007-12-31,24.513698630136986
2008-12-31,24.169398907103826
2009-12-31,24.224657534246575
2010-12-31,24.736986301369864
2011-12-31,24.117808219178084
2012-12-31,24.010928961748633
2013-12-31,24.15068493150685
2014-12-31,23.813698630136987
2015-12-31,23.867123287671234
2016-12-31,25.064207650273225
2017-12-31,24.7013698630137
2018-12-31,24.415068493150685
2019-12-31,24.166027397260276
2020-12-31,24.843852459016393
2021-12-31,24.54041095890411
2022-12-31,24.432328767123284
2023-12-31,23.059041095890407
