Tanggal,Kecepatan Angin Maksimum
1980-12-31,5.602459016393443
1981-12-31,5.063013698630137
1982-12-31,4.926027397260274
1983-12-31,5.642465753424657
1984-12-31,5.8469945355191255
1985-12-31,6.364383561643836
1986-12-31,6.367123287671233
1987-12-31,6.47945205479452
1988-12-31,6.508196721311475
1989-12-31,6.30958904109589
1990-12-31,5.258904109589041
1991-12-31,5.521917808219178
1992-12-31,5.066939890710382
1993-12-31,5.484931506849315
1994-12-31,5.938356164383562
1995-12-31,5.653424657534247
1996-12-31,5.775956284153006
1997-12-31,4.816438356164384
1998-12-31,4.341095890410959
1999-12-31,4.497260273972603
2000-12-31,4.445355191256831
2001-12-31,3.0
2002-12-31,3.0
2003-12-31,3.0
2004-12-31,3.0
2005-12-31,5.021917808219178
2006-12-31,4.991780821917808
2007-12-31,5.661643835616438
2008-12-31,4.575136612021858
2009-12-31,4.457534246575342
2010-12-31,4.134246575342465
2011-12-31,4.1438356164383565
2012-12-31,3.989071038251366
2013-12-31,4.064383561643836
2014-12-31,3.506849315068493
2015-12-31,4.676712328767123
2016-12-31,4.3469945355191255
2017-12-31,5.4150684931506845
2018-12-31,5.868493150684931
2019-12-31,5.715068493150685
2020-12-31,4.780054644808743
2021-12-31,5.398630136986301
2022-12-31,4.868493150684931
2023-12-31,5.950684931506849
