Tanggal,Temperatur Maksimum
1980-12-31,32.2
1981-12-31,32.2
1982-12-31,32.931643835616434
1983-12-31,32.85589041095891
1984-12-31,32.1724043715847
1985-12-31,32.92356164383562
1986-12-31,32.97260273972603
1987-12-31,33.17383561643836
1988-12-31,33.024180327868855
1989-12-31,32.76123287671233
1990-12-31,33.13356164383562
1991-12-31,32.622465753424656
1992-12-31,33.058196721311475
1993-12-31,33.04246575342466
1994-12-31,32.671369863013695
1995-12-31,32.67643835616438
1996-12-31,33.116939890710384
1997-12-31,33.460547945205484
1998-12-31,33.553424657534244
1999-12-31,32.82931506849315
2000-12-31,32.49248633879781
2001-12-31,33.18068493150685
2002-12-31,33.3713698630137
2003-12-31,33.1172602739726
2004-12-31,33.3061475409836
2005-12-31,33.653150684931504
2006-12-31,32.67657534246575
2007-12-31,32.85835616438356
2008-12-31,32.67937158469945
2009-12-31,33.64616438356165
2010-12-31,32.99945205479452
2011-12-31,32.65191780821918
2012-12-31,32.640163934426226
2013-12-31,32.919041095890414
2014-12-31,33.271232876712325
2015-12-31,33.28506849315068
2016-12-31,33.39863387978142
2017-12-31,32.74520547945205
2018-12-31,33.15287671232876
2019-12-31,33.23890410958904
2020-12-31,33.61229508196721
2021-12-31,33.172602739726024
2022-12-31,32.94794520547945
2023-12-31,33.065479452054795
