Tanggal,Kecepatan Angin Maksimum
1980-12-31,5.871584699453552
1981-12-31,5.846575342465753
1982-12-31,6.601369863013699
1983-12-31,6.095890410958904
1984-12-31,4.3210382513661205
1985-12-31,4.078082191780822
1986-12-31,4.061643835616438
1987-12-31,3.4767123287671233
1988-12-31,3.6598360655737703
1989-12-31,3.3589041095890413
1990-12-31,4.882191780821918
1991-12-31,4.954794520547945
1992-12-31,4.907103825136612
1993-12-31,5.294520547945205
1994-12-31,5.723287671232876
1995-12-31,5.426027397260274
1996-12-31,5.4863387978142075
1997-12-31,5.279452054794521
1998-12-31,4.635616438356164
1999-12-31,4.838356164383562
2000-12-31,5.140710382513661
2001-12-31,4.835616438356165
2002-12-31,5.219178082191781
2003-12-31,4.9
2004-12-31,5.295081967213115
2005-12-31,5.071232876712329
2006-12-31,5.2684931506849315
2007-12-31,5.171232876712328
2008-12-31,4.979508196721311
2009-12-31,5.238356164383561
2010-12-31,4.867123287671233
2011-12-31,4.920547945205479
2012-12-31,4.879781420765028
2013-12-31,5.071232876712329
2014-12-31,5.36986301369863
2015-12-31,4.821917808219178
2016-12-31,4.702185792349726
2017-12-31,5.263013698630137
2018-12-31,5.353424657534247
2019-12-31,5.446575342465754
2020-12-31,5.573770491803279
2021-12-31,5.342465753424658
2022-12-31,5.24703196347032
2023-12-31,5.396803652968036
