Tanggal,Kecepatan Angin Rata-rata
1980-12-31,4.922131147540983
1981-12-31,4.191780821917808
1982-12-31,3.8
1983-12-31,3.7794520547945205
1984-12-31,4.120218579234972
1985-12-31,4.134246575342465
1986-12-31,4.142465753424657
1987-12-31,4.605479452054794
1988-12-31,3.5560109289617485
1989-12-31,3.763013698630137
1990-12-31,4.421917808219178
1991-12-31,4.372602739726028
1992-12-31,3.5259562841530054
1993-12-31,4.0
1994-12-31,4.508219178082192
1995-12-31,4.273972602739726
1996-12-31,4.077868852459017
1997-12-31,2.708219178082192
1998-12-31,2.4205479452054797
1999-12-31,2.33972602739726
2000-12-31,2.296448087431694
2001-12-31,1.9835616438356165
2002-12-31,2.7575342465753425
2003-12-31,2.6356164383561644
2004-12-31,2.960382513661202
2005-12-31,3.6054794520547944
2006-12-31,4.013698630136986
2007-12-31,3.080821917808219
2008-12-31,3.4726775956284155
2009-12-31,2.663013698630137
2010-12-31,2.804109589041096
2011-12-31,3.0342465753424657
2012-12-31,2.8333333333333335
2013-12-31,2.828767123287671
2014-12-31,2.871232876712329
2015-12-31,2.7753424657534245
2016-12-31,3.0724043715846996
2017-12-31,3.4534246575342467
2018-12-31,3.389041095890411
2019-12-31,3.4712328767123286
2020-12-31,3.5437158469945356
2021-12-31,3.271232876712329
2022-12-31,2.9315068493150687
2023-12-31,3.73972602739726
