Tanggal,Kelembapan Rata-rata
1980-12-31,66.0
1981-12-31,66.0
1982-12-31,66.22893316728934
1983-12-31,74.21627231216272
1984-12-31,72.83879781420765
1985-12-31,72.34931506849315
1986-12-31,73.46575342465754
1987-12-31,71.94794520547946
1988-12-31,72.98497267759562
1989-12-31,64.43150684931507
1990-12-31,72.42876712328767
1991-12-31,73.37260273972603
1992-12-31,73.10519125683061
1993-12-31,71.18082191780822
1994-12-31,70.56986301369864
1995-12-31,74.68493150684931
1996-12-31,75.39236173662403
1997-12-31,72.54080987505645
1998-12-31,77.2
1999-12-31,76.2013698630137
2000-12-31,74.12841530054645
2001-12-31,68.0
2002-12-31,68.0
2003-12-31,68.0
2004-12-31,68.0
2005-12-31,73.83698630136986
2006-12-31,75.7027397260274
2007-12-31,76.20547945205479
2008-12-31,75.20765027322405
2009-12-31,74.24657534246575
2010-12-31,77.63013698630137
2011-12-31,75.58767123287672
2012-12-31,75.46448087431693
2013-12-31,81.69589041095891
2014-12-31,78.78904109589041
2015-12-31,77.35342465753425
2016-12-31,77.86065573770492
2017-12-31,78.65753424657534
2018-12-31,78.47123287671234
2019-12-31,77.20821917808219
2020-12-31,76.81557377049181
2021-12-31,79.83698630136986
2022-12-31,77.81369863013698
2023-12-31,77.12328767123287
