Tanggal,Temperatur Maksimum
1980-12-31,31.68155737704918
1981-12-31,31.67876712328767
1982-12-31,31.29041095890411
1983-12-31,31.70794520547945
1984-12-31,31.68688524590164
1985-12-31,31.894931506849314
1986-12-31,31.701095890410958
1987-12-31,31.947260273972603
1988-12-31,32.05983606557377
1989-12-31,31.833013698630136
1990-12-31,31.91082191780822
1991-12-31,31.82849315068493
1992-12-31,32.12131147540983
1993-12-31,32.165342465753426
1994-12-31,31.92876712328767
1995-12-31,31.765342465753427
1996-12-31,31.90532786885246
1997-12-31,31.691232876712327
1998-12-31,32.522602739726025
1999-12-31,31.827260273972605
2000-12-31,31.178005464480872
2001-12-31,31.90767123287671
2002-12-31,32.30575342465754
2003-12-31,32.12219178082192
2004-12-31,31.78155737704918
2005-12-31,32.547260273972604
2006-12-31,31.607808219178082
2007-12-31,32.30821917808219
2008-12-31,32.6341985428051
2009-12-31,32.74940639269406
2010-12-31,32.26424657534247
2011-12-31,31.511369863013698
2012-12-31,32.11844262295082
2013-12-31,33.68630136986302
2014-12-31,32.10479452054795
2015-12-31,32.216986301369865
2016-12-31,33.37131147540983
2017-12-31,32.19561643835616
2018-12-31,32.26835616438356
2019-12-31,32.21657534246575
2020-12-31,32.62718579234973
2021-12-31,32.21027397260274
2022-12-31,32.16150684931507
2023-12-31,32.00506849315069
