Tanggal,Temperatur Rata-rata
1980-12-31,26.66188524590164
1981-12-31,26.562602739726028
1982-12-31,26.33219178082192
1983-12-31,26.663561643835617
1984-12-31,26.410382513661204
1985-12-31,26.5486301369863
1986-12-31,26.511369863013698
1987-12-31,26.66849315068493
1988-12-31,26.791939890710385
1989-12-31,26.473424657534245
1990-12-31,26.53178082191781
1991-12-31,26.32315068493151
1992-12-31,26.47622950819672
1993-12-31,26.534246575342465
1994-12-31,26.173698630136986
1995-12-31,26.417123287671235
1996-12-31,26.493032786885248
1997-12-31,26.42027397260274
1998-12-31,27.054794520547944
1999-12-31,26.254520547945205
2000-12-31,26.416120218579234
2001-12-31,26.551369863013697
2002-12-31,26.63082191780822
2003-12-31,26.813698630136987
2004-12-31,26.708743169398907
2005-12-31,26.80328767123288
2006-12-31,26.564657534246578
2007-12-31,26.8813698630137
2008-12-31,26.73224043715847
2009-12-31,27.0613698630137
2010-12-31,27.12246575342466
2011-12-31,26.49876712328767
2012-12-31,26.689480874316942
2013-12-31,26.968767123287673
2014-12-31,26.956849315068492
2015-12-31,27.332876712328765
2016-12-31,27.519535519125682
2017-12-31,27.088219178082195
2018-12-31,27.328630136986302
2019-12-31,27.13643835616438
2020-12-31,27.574043715846994
2021-12-31,27.246849315068495
2022-12-31,27.223561643835616
2023-12-31,27.296575342465754
