Tanggal,Curah Hujan
1980-12-31,3.0
1981-12-31,3.0
1982-12-31,2.8015068493150683
1983-12-31,5.721232876712329
1984-12-31,6.173998178506375
1985-12-31,3.9581278538812787
1986-12-31,5.192739726027397
1987-12-31,5.1187297633872975
1988-12-31,5.7717585692995526
1989-12-31,3.534109589041096
1990-12-31,5.479041095890412
1991-12-31,5.016438356164383
1992-12-31,3.583879781420765
1993-12-31,5.298767123287671
1994-12-31,4.684891216760677
1995-12-31,3.4345608380338435
1996-12-31,5.6291401806624295
1997-12-31,9.001190942130277
1998-12-31,5.245945205479452
1999-12-31,10.085835616438356
2000-12-31,7.6963818512998845
2001-12-31,10.087463677874638
2002-12-31,5.13972602739726
2003-12-31,5.075342465753424
2004-12-31,4.395628415300546
2005-12-31,4.299908675799087
2006-12-31,9.121872146118722
2007-12-31,6.94123287671233
2008-12-31,5.749590163934426
2009-12-31,6.300502283105023
2010-12-31,9.072100456621005
2011-12-31,7.118493150684931
2012-12-31,7.402049180327869
2013-12-31,2.646301369863014
2014-12-31,7.358401826484018
2015-12-31,8.736682782702122
2016-12-31,12.264738026358085
2017-12-31,3.616164383561644
2018-12-31,7.813698630136987
2019-12-31,3.665068493150685
2020-12-31,8.924931693989071
2021-12-31,9.151164383561644
2022-12-31,6.426575342465753
2023-12-31,5.8054794520547945
