Tanggal,Kecepatan Angin Rata-rata
1980-12-31,3.587431693989071
1981-12-31,3.0123287671232877
1982-12-31,2.147945205479452
1983-12-31,2.9123287671232876
1984-12-31,2.919398907103825
1985-12-31,3.3835616438356166
1986-12-31,3.8917808219178083
1987-12-31,4.156164383561644
1988-12-31,3.901639344262295
1989-12-31,3.708675799086758
1990-12-31,3.2036529680365295
1991-12-31,3.3863013698630136
1992-12-31,3.050546448087432
1993-12-31,3.3313902652287966
1994-12-31,3.4754590498396967
1995-12-31,3.775616438356164
1996-12-31,3.4724043715846995
1997-12-31,3.1123287671232878
1998-12-31,3.280821917808219
1999-12-31,3.584474885844749
2000-12-31,3.057832422586521
2001-12-31,2.123398516520566
2002-12-31,2.3695212407282535
2003-12-31,2.6156439649359404
2004-12-31,2.8621038435603503
2005-12-31,2.7982033826286963
2006-12-31,2.697260273972603
2007-12-31,3.232876712328767
2008-12-31,2.616120218579235
2009-12-31,2.563013698630137
2010-12-31,2.415068493150685
2011-12-31,2.289041095890411
2012-12-31,2.5322745901639343
2013-12-31,2.5950342465753424
2014-12-31,1.7712328767123289
2015-12-31,2.1410958904109587
2016-12-31,1.825136612021858
2017-12-31,2.6013698630136988
2018-12-31,3.0506849315068494
2019-12-31,3.0904109589041098
2020-12-31,2.370218579234973
2021-12-31,2.7534246575342465
2022-12-31,2.356164383561644
2023-12-31,2.33972602739726
