Tanggal,Temperatur Minimum
1980-12-31,22.0
1981-12-31,22.0
1982-12-31,22.316438356164383
1983-12-31,23.50958904109589
1984-12-31,23.05327868852459
1985-12-31,22.71232876712329
1986-12-31,22.927397260273974
1987-12-31,22.587671232876712
1988-12-31,23.023224043715846
1989-12-31,22.25890410958904
1990-12-31,21.61917808219178
1991-12-31,21.473972602739725
1992-12-31,23.0396174863388
1993-12-31,23.073972602739726
1994-12-31,22.77123287671233
1995-12-31,23.11917808219178
1996-12-31,22.815573770491802
1997-12-31,22.715068493150685
1998-12-31,23.105479452054794
1999-12-31,22.17808219178082
2000-12-31,22.523224043715846
2001-12-31,22.53287671232877
2002-12-31,22.975342465753425
2003-12-31,23.226027397260275
2004-12-31,23.146174863387976
2005-12-31,23.60821917808219
2006-12-31,23.03698630136986
2007-12-31,23.44931506849315
2008-12-31,23.459016393442624
2009-12-31,23.473972602739725
2010-12-31,24.197260273972603
2011-12-31,22.96164383561644
2012-12-31,23.292349726775956
2013-12-31,23.71780821917808
2014-12-31,23.226027397260275
2015-12-31,23.315068493150687
2016-12-31,24.30191256830601
2017-12-31,23.90684931506849
2018-12-31,23.816438356164383
2019-12-31,23.436986301369863
2020-12-31,24.20601092896175
2021-12-31,23.952876712328766
2022-12-31,23.952876712328766
2023-12-31,23.486849315068493
