Tanggal,Temperatur Rata-rata
1980-12-31,26.0
1981-12-31,26.0
1982-12-31,26.97150684931507
1983-12-31,27.50767123287671
1984-12-31,27.564617486338797
1985-12-31,27.48780821917808
1986-12-31,27.541917808219175
1987-12-31,27.85794520547945
1988-12-31,27.927732240437155
1989-12-31,27.75041095890411
1990-12-31,27.866301369863017
1991-12-31,27.54904109589041
1992-12-31,27.87540983606557
1993-12-31,27.926986301369865
1994-12-31,27.61123287671233
1995-12-31,27.80835616438356
1996-12-31,28.793247462919595
1997-12-31,27.756908023483366
1998-12-31,28.444109589041098
1999-12-31,27.797808219178084
2000-12-31,26.756547106694313
2001-12-31,26.78168257756563
2002-12-31,27.50035799522673
2003-12-31,28.21903341288783
2004-12-31,28.938693317422434
2005-12-31,28.24808219178082
2006-12-31,27.51164383561644
2007-12-31,27.84054794520548
2008-12-31,27.714344262295082
2009-12-31,28.273287671232875
2010-12-31,28.462739726027397
2011-12-31,27.62027397260274
2012-12-31,27.688251366120216
2013-12-31,27.18232876712329
2014-12-31,28.187945205479455
2015-12-31,28.31095890410959
2016-12-31,28.986065573770492
2017-12-31,28.253561643835614
2018-12-31,28.167397260273972
2019-12-31,28.163698630136988
2020-12-31,28.724453551912568
2021-12-31,28.2413698630137
2022-12-31,28.39958904109589
2023-12-31,28.171643835616436
