Tanggal,Temperatur Maksimum
1980-12-31,31.253278688524592
1981-12-31,30.586986301369862
1982-12-31,31.11287671232877
1983-12-31,31.047123287671234
1984-12-31,30.481967213114753
1985-12-31,30.888630136986304
1986-12-31,30.63342465753425
1987-12-31,30.866438356164384
1988-12-31,30.914480874316943
1989-12-31,30.720547945205478
1990-12-31,30.9413698630137
1991-12-31,30.67945205479452
1992-12-31,31.04726775956284
1993-12-31,31.15123287671233
1994-12-31,30.892876712328768
1995-12-31,31.01123287671233
1996-12-31,31.175819672131148
1997-12-31,31.18712328767123
1998-12-31,31.936986301369863
1999-12-31,31.143835616438356
2000-12-31,31.28934426229508
2001-12-31,31.588219178082195
2002-12-31,31.776301369863013
2003-12-31,31.61945205479452
2004-12-31,31.8327868852459
2005-12-31,31.98575342465753
2006-12-31,31.58479452054795
2007-12-31,31.625753424657532
2008-12-31,31.457377049180327
2009-12-31,32.01561643835617
2010-12-31,31.95
2011-12-31,31.476712328767125
2012-12-31,30.67568306010929
2013-12-31,31.496438356164386
2014-12-31,31.48178082191781
2015-12-31,31.666164383561643
2016-12-31,32.10478142076503
2017-12-31,31.11123287671233
2018-12-31,31.263150684931507
2019-12-31,31.607808219178082
2020-12-31,31.801639344262295
2021-12-31,31.384794520547945
2022-12-31,31.634657534246575
2023-12-31,31.578434065934065
