Tanggal,Arah Angin Saat Kecepatan Maksimum
1980-12-31,243.0737704918033
1981-12-31,242.63013698630138
1982-12-31,237.94520547945206
1983-12-31,243.86301369863014
1984-12-31,233.97540983606558
1985-12-31,249.65753424657535
1986-12-31,239.54794520547946
1987-12-31,233.87671232876713
1988-12-31,231.7622950819672
1989-12-31,245.21917808219177
1990-12-31,248.05479452054794
1991-12-31,242.75342465753425
1992-12-31,261.6393442622951
1993-12-31,257.05479452054794
1994-12-31,233.63013698630138
1995-12-31,236.46575342465752
1996-12-31,251.4344262295082
1997-12-31,261.1232876712329
1998-12-31,262.7260273972603
1999-12-31,246.08219178082192
2000-12-31,243.68852459016392
2001-12-31,246.57534246575344
2002-12-31,239.3013698630137
2003-12-31,232.15068493150685
2004-12-31,241.72131147540983
2005-12-31,222.04109589041096
2006-12-31,221.91780821917808
2007-12-31,223.02739726027397
2008-12-31,230.65573770491804
2009-12-31,217.1095890410959
2010-12-31,237.57534246575344
2011-12-31,239.05479452054794
2012-12-31,225.0
2013-12-31,235.31506849315068
2014-12-31,241.6986301369863
2015-12-31,223.7945205479452
2016-12-31,246.44808743169398
2017-12-31,223.83561643835617
2018-12-31,234.24657534246575
2019-12-31,229.013698630137
2020-12-31,231.91256830601094
2021-12-31,228.46575342465752
2022-12-31,239.72602739726028
2023-12-31,238.57534246575344
