Tanggal,Temperatur Rata-rata
1980-12-31,26.88060109289617
1981-12-31,26.962191780821918
1982-12-31,26.33178082191781
1983-12-31,26.6813698630137
1984-12-31,26.56311475409836
1985-12-31,26.662739726027397
1986-12-31,26.63780821917808
1987-12-31,27.00986301369863
1988-12-31,27.086885245901637
1989-12-31,27.395616438356164
1990-12-31,26.80260273972603
1991-12-31,26.75657534246575
1992-12-31,26.901502732240438
1993-12-31,26.887534246575346
1994-12-31,26.486027397260273
1995-12-31,26.514520547945203
1996-12-31,26.67199453551913
1997-12-31,26.45191780821918
1998-12-31,27.293972602739725
1999-12-31,26.38602739726027
2000-12-31,26.385928961748633
2001-12-31,26.800821917808218
2002-12-31,26.984931506849314
2003-12-31,26.868219178082192
2004-12-31,26.31584699453552
2005-12-31,27.81917808219178
2006-12-31,26.714109589041094
2007-12-31,27.053972602739726
2008-12-31,27.051502732240436
2009-12-31,27.296164383561646
2010-12-31,27.412054794520547
2011-12-31,26.6513698630137
2012-12-31,26.947131147540983
2013-12-31,28.322328767123288
2014-12-31,27.454794520547946
2015-12-31,27.471917808219178
2016-12-31,28.196448087431694
2017-12-31,27.721917808219178
2018-12-31,27.88876712328767
2019-12-31,27.95068493150685
2020-12-31,28.38401639344262
2021-12-31,27.93342465753425
2022-12-31,27.22068493150685
2023-12-31,27.215205479452052
