Tanggal,Kecepatan Angin Maksimum
1980-12-31,6.0
1981-12-31,6.0
1982-12-31,7.219178082191781
1983-12-31,7.743835616438356
1984-12-31,6.474043715846994
1985-12-31,6.921917808219178
1986-12-31,6.9
1987-12-31,7.336986301369863
1988-12-31,7.702185792349726
1989-12-31,7.365753424657535
1990-12-31,7.512328767123288
1991-12-31,7.532876712328767
1992-12-31,7.030054644808743
1993-12-31,7.357534246575343
1994-12-31,6.872602739726028
1995-12-31,6.082191780821918
1996-12-31,6.437158469945355
1997-12-31,6.619178082191781
1998-12-31,5.535616438356165
1999-12-31,6.108219178082192
2000-12-31,6.0136612021857925
2001-12-31,6.097260273972603
2002-12-31,6.476712328767123
2003-12-31,6.484931506849315
2004-12-31,6.550546448087432
2005-12-31,6.412328767123288
2006-12-31,6.372602739726028
2007-12-31,6.568493150684931
2008-12-31,6.401639344262295
2009-12-31,6.456164383561644
2010-12-31,5.461643835616439
2011-12-31,5.8712328767123285
2012-12-31,6.430327868852459
2013-12-31,5.824657534246575
2014-12-31,6.041095890410959
2015-12-31,6.164383561643835
2016-12-31,5.155737704918033
2017-12-31,5.712328767123288
2018-12-31,6.397260273972603
2019-12-31,6.284931506849315
2020-12-31,6.120218579234972
2021-12-31,5.843835616438356
2022-12-31,5.882191780821918
2023-12-31,6.471232876712329
