Tanggal,Arah Angin Saat Kecepatan Maksimum
1980-12-31,191.47540983606558
1981-12-31,195.6164383561644
1982-12-31,189.986301369863
1983-12-31,196.27397260273972
1984-12-31,190.69672131147541
1985-12-31,180.986301369863
1986-12-31,245.52739726027397
1987-12-31,205.35616438356163
1988-12-31,212.3360655737705
1989-12-31,222.96575342465752
1990-12-31,214.7054794520548
1991-12-31,209.5068493150685
1992-12-31,208.49726775956285
1993-12-31,202.06849315068493
1994-12-31,204.16438356164383
1995-12-31,204.78082191780823
1996-12-31,194.2622950819672
1997-12-31,185.1164383561644
1998-12-31,196.3972602739726
1999-12-31,180.86301369863014
2000-12-31,171.96174863387978
2001-12-31,220.26712328767124
2002-12-31,193.94520547945206
2003-12-31,187.5068493150685
2004-12-31,199.88387978142077
2005-12-31,149.42465753424656
2006-12-31,198.95890410958904
2007-12-31,190.65753424657535
2008-12-31,209.94535519125682
2009-12-31,205.86301369863014
2010-12-31,192.05479452054794
2011-12-31,184.86301369863014
2012-12-31,202.75956284153006
2013-12-31,152.95890410958904
2014-12-31,189.27945205479452
2015-12-31,188.94520547945206
2016-12-31,203.2377049180328
2017-12-31,188.24931506849316
2018-12-31,200.12328767123287
2019-12-31,196.84931506849315
2020-12-31,192.97540983606558
2021-12-31,190.96164383561643
2022-12-31,191.0027397260274
2023-12-31,186.73972602739727
